station_id_6,time,PM25_Concentration_6,PM10_Concentration_6,NO2_Concentration_6,CO_Concentration_6,O3_Concentration_6,SO2_Concentration_6
4014.0,2014-05-01 00:00:00,14.0,17.0,35.0,1.5,37.0,7.0
4014.0,2014-05-01 01:00:00,22.0,26.0,17.0,1.2,44.0,8.0
4014.0,2014-05-01 02:00:00,18.0,19.0,36.0,5.3,22.0,9.0
4014.0,2014-05-01 03:00:00,14.0,18.0,31.0,3.4,21.3,8.0
4014.0,2014-05-01 04:00:00,16.0,28.0,29.0,1.5,20.7,81.0
4014.0,2014-05-01 05:00:00,17.0,29.0,32.0,1.5,20.0,154.0
4014.0,2014-05-01 06:00:00,20.0,22.0,29.0,1.5,23.0,6.0
4014.0,2014-05-01 07:00:00,38.0,30.0,25.0,1.5,23.0,6.0
4014.0,2014-05-01 08:00:00,35.0,38.0,26.0,1.5,21.0,6.0
4014.0,2014-05-01 09:00:00,25.0,35.0,28.0,1.5,22.0,6.0
4014.0,2014-05-01 10:00:00,21.0,36.0,26.0,1.5,39.0,6.0
4014.0,2014-05-01 11:00:00,14.0,22.0,20.0,1.4,51.0,6.0
4014.0,2014-05-01 12:00:00,19.0,39.0,28.0,1.5,44.0,6.0
4014.0,2014-05-01 13:00:00,13.0,28.0,19.0,1.5,65.0,6.0
4014.0,2014-05-01 14:00:00,11.0,21.0,14.0,1.4,85.0,6.0
4014.0,2014-05-01 15:00:00,10.0,22.0,15.0,1.4,87.0,6.0
4014.0,2014-05-01 16:00:00,11.0,28.0,17.0,1.5,87.0,6.0
4014.0,2014-05-01 17:00:00,14.0,31.0,22.0,1.5,77.0,6.0
4014.0,2014-05-01 18:00:00,19.0,41.0,28.0,1.5,70.0,6.0
4014.0,2014-05-01 19:00:00,20.0,41.0,29.0,1.5,62.0,6.0
4014.0,2014-05-01 20:00:00,22.0,43.0,27.0,1.5,52.0,6.0
4014.0,2014-05-01 21:00:00,23.0,41.0,27.0,1.5,47.0,6.0
4014.0,2014-05-01 22:00:00,25.0,49.0,30.0,1.6,40.0,6.0
4014.0,2014-05-01 23:00:00,26.0,42.0,29.0,1.6,37.0,6.0
4014.0,2014-05-02 00:00:00,22.0,38.0,30.0,1.6,37.0,6.0
4014.0,2014-05-02 01:00:00,20.0,40.0,30.0,1.6,34.0,6.0
4014.0,2014-05-02 02:00:00,22.0,42.0,31.0,1.6,30.0,6.0
