station_id_22,time,PM25_Concentration_22,PM10_Concentration_22,NO2_Concentration_22,CO_Concentration_22,O3_Concentration_22,SO2_Concentration_22
1023.0,2014-05-01 00:00:00,95.0,166.3,95.4,0.9,63.7,13.4
1023.0,2014-05-01 01:00:00,116.0,191.0,104.0,1.2,25.0,11.0
1023.0,2014-05-01 02:00:00,118.0,198.0,58.0,0.7,30.0,11.0
1023.0,2014-05-01 03:00:00,120.0,197.0,57.0,0.7,29.0,5.0
1023.0,2014-05-01 04:00:00,126.0,195.0,84.0,0.7,8.0,4.0
1023.0,2014-05-01 05:00:00,136.0,181.0,82.5,0.4,12.0,3.0
1023.0,2014-05-01 06:00:00,136.0,193.0,81.0,1.0,14.0,7.0
1023.0,2014-05-01 07:00:00,152.0,218.0,78.0,1.2,20.0,14.0
1023.0,2014-05-01 08:00:00,170.0,280.0,76.0,1.3,34.0,26.0
1023.0,2014-05-01 09:00:00,188.0,302.0,59.0,1.3,65.0,31.0
1023.0,2014-05-01 10:00:00,190.0,263.0,46.0,1.2,100.0,31.0
1023.0,2014-05-01 11:00:00,184.0,245.0,45.0,1.1,127.0,31.0
1023.0,2014-05-01 12:00:00,165.0,202.0,35.0,1.0,163.0,31.0
1023.0,2014-05-01 13:00:00,153.0,225.0,28.0,1.0,194.0,26.0
1023.0,2014-05-01 14:00:00,152.0,165.0,23.0,1.0,216.0,26.0
1023.0,2014-05-01 15:00:00,138.0,158.5,22.0,0.9,228.0,26.0
1023.0,2014-05-01 16:00:00,123.0,152.0,20.0,0.9,232.0,24.0
1023.0,2014-05-01 17:00:00,119.0,127.0,27.0,1.0,216.0,23.0
1023.0,2014-05-01 18:00:00,88.0,243.0,31.0,0.7,91.0,10.0
1023.0,2014-05-01 19:00:00,72.0,195.0,43.0,0.7,56.0,6.0
1023.0,2014-05-01 20:00:00,74.0,166.0,51.0,0.8,42.0,5.0
1023.0,2014-05-01 21:00:00,62.0,137.0,24.0,0.5,65.0,4.0
