station_id_31,time,PM25_Concentration_31,PM10_Concentration_31,NO2_Concentration_31,CO_Concentration_31,O3_Concentration_31,SO2_Concentration_31
1032.0,2014-05-01 00:00:00,87.0,100.6,16.2,0.7,159.4,11.9
1032.0,2014-05-01 01:00:00,84.0,113.6,14.3,0.7,151.3,16.4
1032.0,2014-05-01 02:00:00,83.0,136.7,13.4,0.7,122.8,9.5
1032.0,2014-05-01 03:00:00,88.0,108.2,12.4,0.7,109.4,4.9
1032.0,2014-05-01 04:00:00,85.0,102.7,11.0,0.7,95.7,2.7
1032.0,2014-05-01 05:00:00,78.0,89.3,11.7,0.7,90.0,2.8
1032.0,2014-05-01 06:00:00,92.0,99.4,10.3,0.7,79.3,2.0
1032.0,2014-05-01 07:00:00,85.0,91.4,11.2,0.7,69.9,2.0
1032.0,2014-05-01 08:00:00,86.0,90.1,11.6,0.7,66.3,2.8
1032.0,2014-05-01 09:00:00,100.0,110.8,10.2,0.7,68.9,6.3
1032.0,2014-05-01 10:00:00,119.0,131.2,9.4,0.8,90.4,14.1
1032.0,2014-05-01 11:00:00,137.0,176.9,8.6,1.0,123.3,24.3
1032.0,2014-05-01 12:00:00,152.0,177.1,8.9,1.0,155.0,30.3
1032.0,2014-05-01 13:00:00,157.0,175.1,8.6,1.0,177.1,31.1
1032.0,2014-05-01 14:00:00,139.0,164.9,9.2,1.1,201.5,31.5
1032.0,2014-05-01 15:00:00,150.0,157.3,8.3,1.0,222.9,26.2
1032.0,2014-05-01 16:00:00,138.0,138.9,6.3,0.9,237.1,23.1
1032.0,2014-05-01 17:00:00,128.0,134.7,5.3,0.9,245.4,22.4
1032.0,2014-05-01 18:00:00,113.0,130.5,6.0,0.9,250.9,20.2
1032.0,2014-05-01 19:00:00,117.0,228.6,6.5,0.9,204.5,10.1
1032.0,2014-05-01 20:00:00,107.0,199.8,5.2,0.8,153.4,3.4
1032.0,2014-05-01 21:00:00,74.0,170.9,3.3,0.6,117.9,5.2
1032.0,2014-05-01 22:00:00,54.0,142.0,2.4,0.5,104.3,3.7
1032.0,2014-05-01 23:00:00,59.0,113.2,2.9,0.4,89.2,2.1
1032.0,2014-05-02 00:00:00,55.0,118.7,2.0,0.4,81.4,2.0
1032.0,2014-05-02 01:00:00,37.0,117.0,2.0,0.3,81.0,2.0
1032.0,2014-05-02 02:00:00,30.0,115.4,2.0,0.3,81.6,2.0
1032.0,2014-05-02 03:00:00,27.0,113.7,2.0,0.2,81.5,2.0
1032.0,2014-05-02 04:00:00,37.0,112.1,3.2,0.2,82.3,2.0
1032.0,2014-05-02 05:00:00,19.0,110.4,3.2,0.2,86.0,2.0
1032.0,2014-05-02 06:00:00,13.0,108.7,3.1,0.2,88.5,2.0
1032.0,2014-05-02 07:00:00,9.0,107.1,2.4,0.2,95.6,2.0
1032.0,2014-05-02 08:00:00,8.0,105.4,2.4,0.2,98.5,2.0
1032.0,2014-05-02 09:00:00,3.0,103.7,2.9,0.2,93.9,2.0
1032.0,2014-05-02 10:00:00,25.0,102.1,3.6,0.2,90.9,2.0
1032.0,2014-05-02 11:00:00,29.0,100.4,4.5,0.2,95.2,2.0
1032.0,2014-05-02 12:00:00,23.0,98.8,4.4,0.2,98.4,2.0
1032.0,2014-05-02 13:00:00,14.0,97.1,4.1,0.2,102.5,2.0
1032.0,2014-05-02 14:00:00,36.0,95.4,4.2,0.2,106.3,2.0
1032.0,2014-05-02 15:00:00,19.0,93.8,4.1,0.2,108.5,2.0
1032.0,2014-05-02 16:00:00,14.0,92.1,4.3,0.2,106.1,2.0
1032.0,2014-05-02 17:00:00,12.0,90.4,5.0,0.2,105.1,2.0
1032.0,2014-05-02 18:00:00,13.0,88.8,3.9,0.1,102.1,2.0
1032.0,2014-05-02 19:00:00,11.0,87.1,2.0,0.1,101.6,2.0
1032.0,2014-05-02 20:00:00,8.0,85.5,2.2,0.1,95.9,2.0
1032.0,2014-05-02 21:00:00,5.0,83.8,2.0,0.1,95.1,2.0
1032.0,2014-05-02 22:00:00,9.0,82.1,2.7,0.1,90.3,2.0
1032.0,2014-05-02 23:00:00,7.0,80.5,3.0,0.1,81.3,2.0
1032.0,2014-05-03 00:00:00,50.0,78.8,3.9,0.1,73.9,2.0
1032.0,2014-05-03 01:00:00,10.0,77.2,4.7,0.1,62.4,2.0
1032.0,2014-05-03 02:00:00,10.0,75.5,5.8,0.2,51.3,2.0
